x_var,y_var,point,diff_x,diff_y,distance,theta,diff_theta,cumulative_distance,r,cumulative_distance_10_actual,cumulative_distance_10_dummy,height,diff_height,_merge,grade
4146.6665,2560,62,-13.333496,13.333252,.019460782,-.7854073,-9.1195107e-06,1.4543629,2133.9722,14.543629,14,.55405408,0,Matched (3),0
4133.3335,2573.3333,63,-13.333008,13.333252,.019460423,-.78538901,.000018298626,1.4738233,1063.491,14.738234,14,.55405408,0,Matched (3),0
4120,2600,64,-13.333496,26.666748,.030770252,-.46365127,.32173774,1.5045935,.095637679,15.045935,15,.55405408,0,Matched (3),0
4106.6665,2613.3333,65,-13.333496,13.333252,.019460782,-.7854073,-.32175604,1.5240543,.060483038,15.240543,15,.55405408,0,Matched (3),0
4093.3333,2626.6667,66,-13.333252,13.333496,.019460782,-.78538901,.000018298626,1.5435151,1063.5106,15.435151,15,.55405408,0,Matched (3),0
4080,2640,67,-13.333252,13.333252,.019460604,-.78539819,-9.1791153e-06,1.5629758,2120.0957,15.629758,15,.55405408,0,Matched (3),0
4066.6667,2653.3333,68,-13.333252,13.333252,.019460604,-.78539819,0,1.5824363,50000,15.824364,15,.55405408,0,Matched (3),0
4053.3333,2666.6667,69,-13.333496,13.333496,.019460959,-.78539819,0,1.6018972,50000,16.018972,16,.55405408,0,Matched (3),0
4040,2680,70,-13.333252,13.333252,.019460604,-.78539819,0,1.6213579,50000,16.213579,16,.55405408,0,Matched (3),0
4026.6667,2693.3333,71,-13.333252,13.333252,.019460604,-.78539819,0,1.6408185,50000,16.408184,16,.55405408,0,Matched (3),0
4026.6667,2706.6667,72,0,13.333496,.013760976,0,.78539819,1.6545794,.017521018,16.545794,16,.55405408,0,Matched (3),0
4026.6667,2720,73,0,13.333252,.013760724,0,0,1.6683402,50000,16.683403,16,.55405408,0,Matched (3),0
4026.6667,2733.3333,74,0,13.333252,.013760724,0,0,1.6821009,50000,16.821009,16,.55405408,0,Matched (3),0
4026.6667,2746.6667,75,0,13.333496,.013760976,0,0,1.6958619,50000,16.95862,16,.55405408,0,Matched (3),0
4040,2760,76,13.333252,13.333252,.019460604,.78539819,.78539819,1.7153225,.024778008,17.153225,17,.54864866,-.005405426,Matched (3),-.2777625
4053.3333,2773.3333,77,13.333252,13.333252,.019460604,.78539819,0,1.7347831,50000,17.34783,17,.54864866,-.005405426,Matched (3),-.2777625
4066.6667,2786.6667,78,13.333496,13.333496,.019460959,.78539819,0,1.7542441,50000,17.54244,17,.54864866,-.005405426,Matched (3),-.27775744
4080,2813.3333,79,13.333252,26.666504,.030769916,.4636476,-.32175058,1.7850139,.095632821,17.85014,17,.54864866,-.005405426,Matched (3),-.17567243
4093.3333,2840,80,13.333252,26.666748,.03077014,.46364394,-3.6656857e-06,1.8157841,8394.1025,18.157841,18,.54324323,-.005405426,Matched (3),-.17567116
4106.6665,2866.6667,81,13.333252,26.666748,.03077014,.46364394,0,1.8465543,50000,18.465542,18,.54324323,-.005405426,Matched (3),-.17567116
4120,2880,82,13.333496,13.333252,.019460782,.7854073,.32176337,1.8660151,.06048166,18.660151,18,.54324323,-.005405426,Matched (3),-.27775994
4133.3335,2893.3333,83,13.333496,13.333252,.019460782,.7854073,0,1.8854758,50000,18.854757,18,.54324323,-.005405426,Matched (3),-.27775994
4146.6665,2906.6667,84,13.333008,13.333496,.019460604,.78537983,-.000027477741,1.9049364,708.23157,19.049364,19,.53783786,-.0054053664,Matched (3),-.27775943
4173.3335,2920,85,26.666992,13.333252,.030770367,1.107156,.32177621,1.9357067,.095626608,19.357067,19,.53783786,-.0054053664,Matched (3),-.17566793
4200,2920,86,26.666504,0,.027521448,1.5707964,.46364033,1.9632282,.05935948,19.632282,19,.53783786,-.0054053664,Matched (3),-.19640559
4213.3335,2920,87,13.333496,0,.013760976,1.5707964,0,1.9769892,50000,19.769892,19,.53783786,-.0054053664,Matched (3),-.392804
4240,2920,88,26.666504,0,.027521448,1.5707964,0,2.0045106,50000,20.045107,20,.53243244,-.005405426,Matched (3),-.19640777
4266.6665,2920,89,26.666504,0,.027521448,1.5707964,0,2.032032,50000,20.32032,20,.53243244,-.005405426,Matched (3),-.19640777
4293.3335,2920,90,26.666992,0,.027521953,1.5707964,0,2.0595541,50000,20.595541,20,.53243244,-.005405426,Matched (3),-.19640416
4320,2920,91,26.666504,0,.027521448,1.5707964,0,2.0870755,50000,20.870754,20,.53243244,-.005405426,Matched (3),-.19640777
4346.6665,2920,92,26.666504,0,.027521448,1.5707964,0,2.1145968,50000,21.145969,21,.52702701,-.005405426,Matched (3),-.19640777
4373.3335,2920,93,26.666992,0,.027521953,1.5707964,0,2.1421189,50000,21.421188,21,.52702701,-.005405426,Matched (3),-.19640416
4400,2920,94,26.666504,0,.027521448,1.5707964,0,2.1696403,50000,21.696404,21,.52702701,-.005405426,Matched (3),-.19640777
4426.6665,2920,95,26.666504,0,.027521448,1.5707964,0,2.1971619,50000,21.971619,21,.52702701,-.005405426,Matched (3),-.19640777
4453.3335,2920,96,26.666992,0,.027521953,1.5707964,0,2.2246838,50000,22.246838,22,.52162164,-.0054053664,Matched (3),-.196402
4480,2920,97,26.666504,0,.027521448,1.5707964,0,2.2522051,50000,22.522051,22,.52162164,-.0054053664,Matched (3),-.19640559
4506.6665,2920,98,26.666504,0,.027521448,1.5707964,0,2.2797267,50000,22.797268,22,.52162164,-.0054053664,Matched (3),-.19640559
4533.3335,2933.3333,99,26.666992,13.333252,.030770367,1.107156,-.46364033,2.310497,.066366889,23.104971,23,.51621622,-.005405426,Matched (3),-.17566986
4560,2946.6667,100,26.666504,13.333496,.030770028,1.1071414,-.000014662743,2.3412671,2098.5178,23.41267,23,.51621622,-.005405426,Matched (3),-.1756718
4586.6665,2960,101,26.666504,13.333252,.030769916,1.1071488,7.3909760e-06,2.3720369,4163.1738,23.720369,23,.51621622,-.005405426,Matched (3),-.17567243
4600,2973.3333,102,13.333496,13.333252,.019460782,.7854073,-.32174146,2.3914979,.060485777,23.914978,23,.51621622,-.005405426,Matched (3),-.27775994
4613.3335,2986.6667,103,13.333496,13.333496,.019460959,.78539819,-9.1195107e-06,2.4109588,2133.9917,24.109589,24,.50540543,-.010810792,Matched (3),-.55551177
4613.3335,3000,104,0,13.333252,.013760724,0,-.78539819,2.4247193,.017520698,24.247192,24,.50540543,-.010810792,Matched (3),-.78562671
4613.3335,3026.6667,105,0,26.666748,.0275217,0,0,2.4522412,50000,24.522411,24,.50540543,-.010810792,Matched (3),-.39280978
4626.6665,3053.3333,106,13.333008,26.666504,.030769801,.46364027,.46364027,2.483011,.066365674,24.830111,24,.50540543,-.010810792,Matched (3),-.35134426
4640,3080,107,13.333496,26.666748,.030770252,.46365127,.000010997057,2.5137811,2798.0442,25.13781,25,.5,-.005405426,Matched (3),-.17567052
4640,3106.6667,108,0,26.666748,.0275217,0,-.46365127,2.5413029,.059358619,25.413029,25,.5,-.005405426,Matched (3),-.19640596
4640,3133.3333,109,0,26.666504,.027521448,0,0,2.5688243,50000,25.688244,25,.5,-.005405426,Matched (3),-.19640777
4626.6665,3160,110,-13.333496,26.666748,.030770252,-.46365127,-.46365127,2.5995946,.066365078,25.995945,25,.5,-.005405426,Matched (3),-.17567052
4613.3335,3173.3333,111,-13.333008,13.333252,.019460423,-.78538901,-.32173774,2.619055,.060485359,26.19055,26,.4945946,-.0054053962,Matched (3),-.27776355
4600,3186.6667,112,-13.333496,13.333496,.019460959,-.78539819,-9.1791153e-06,2.6385159,2120.1345,26.385159,26,.4945946,-.0054053962,Matched (3),-.27775589
4600,3200,113,0,13.333252,.013760724,0,.78539819,2.6522768,.017520698,26.522768,26,.4945946,-.0054053962,Matched (3),-.39281335
4600,3226.6667,114,0,26.666748,.0275217,0,0,2.6797984,50000,26.797983,26,.4945946,-.0054053962,Matched (3),-.19640489
4613.3335,3240,115,13.333496,13.333252,.019460782,.7854073,.7854073,2.6992593,.024777949,26.992592,26,.4945946,-.0054053962,Matched (3),-.27775842
4626.6665,3266.6667,116,13.333008,26.666748,.030770028,.46363664,-.32177067,2.7300291,.095627204,27.300291,27,.48918918,-.005405426,Matched (3),-.1756718
4640,3280,117,13.333496,13.333252,.019460782,.7854073,.32177067,2.74949,.060480285,27.4949,27,.48918918,-.005405426,Matched (3),-.27775994
4653.3335,3293.3333,118,13.333496,13.333252,.019460782,.7854073,0,2.7689507,50000,27.689507,27,.48918918,-.005405426,Matched (3),-.27775994
4666.6665,3306.6667,119,13.333008,13.333496,.019460604,.78537983,-.000027477741,2.7884114,708.23157,27.884113,27,.48918918,-.005405426,Matched (3),-.2777625
4680,3333.3333,120,13.333496,26.666504,.030770028,.46365494,-.32172489,2.8191814,.095640808,28.191814,28,.47837839,-.010810792,Matched (3),-.35134166
4693.3335,3346.6667,121,13.333496,13.333496,.019460959,.78539819,.32174325,2.8386424,.060485993,28.386423,28,.47837839,-.010810792,Matched (3),-.55551177
4706.6665,3360,122,13.333008,13.333252,.019460423,.78538901,-9.1791153e-06,2.8581028,2120.0762,28.581028,28,.47837839,-.010810792,Matched (3),-.55552709
4720,3386.6667,123,13.333496,26.666748,.030770252,.46365127,-.32173774,2.8888731,.095637679,28.888731,28,.47837839,-.010810792,Matched (3),-.3513391
4733.3335,3400,124,13.333496,13.333252,.019460782,.7854073,.32175604,2.9083338,.060483038,29.083338,29,.47837839,0,Matched (3),0
4746.6665,3426.6667,125,13.333008,26.666748,.030770028,.46363664,-.32177067,2.9391038,.095627204,29.391039,29,.47837839,0,Matched (3),0
4760,3440,126,13.333496,13.333252,.019460782,.7854073,.32177067,2.9585645,.060480285,29.585646,29,.47837839,0,Matched (3),0
4773.3335,3453.3333,127,13.333496,13.333252,.019460782,.7854073,0,2.9780254,50000,29.780254,29,.47837839,0,Matched (3),0
4786.6665,3480,128,13.333008,26.666748,.030770028,.46363664,-.32177067,3.0087955,.095627204,30.087955,30,.47837839,0,Matched (3),0
4800,3506.6667,129,13.333496,26.666748,.030770252,.46365127,.00001463294,3.0395656,2102.8071,30.395657,30,.47837839,0,Matched (3),0
